FECHA	USXCS
01/01/2023	36.2333
02/01/2023	36.2353
03/01/2023	36.2373
04/01/2023	36.2392
05/01/2023	36.2412
06/01/2023	36.2432
07/01/2023	36.2451
08/01/2023	36.2471
09/01/2023	36.2491
10/01/2023	36.251
11/01/2023	36.253
12/01/2023	36.255
13/01/2023	36.2569
14/01/2023	36.2589
15/01/2023	36.2609
16/01/2023	36.2628
17/01/2023	36.2648
18/01/2023	36.2668
19/01/2023	36.2687
20/01/2023	36.2707
21/01/2023	36.2727
22/01/2023	36.2746
23/01/2023	36.2766
24/01/2023	36.2786
25/01/2023	36.2805
26/01/2023	36.2825
27/01/2023	36.2845
28/01/2023	36.2865
29/01/2023	36.2884
30/01/2023	36.2904
31/01/2023	36.2924
01/02/2023	36.2933
02/02/2023	36.2943
03/02/2023	36.2953
04/02/2023	36.2963
05/02/2023	36.2973
06/02/2023	36.2983
07/02/2023	36.2993
08/02/2023	36.3003
09/02/2023	36.3013
10/02/2023	36.3023
11/02/2023	36.3032
12/02/2023	36.3042
13/02/2023	36.3052
14/02/2023	36.3062
15/02/2023	36.3072
16/02/2023	36.3082
17/02/2023	36.3092
18/02/2023	36.3102
19/02/2023	36.3112
20/02/2023	36.3121
21/02/2023	36.3131
22/02/2023	36.3141
23/02/2023	36.3151
24/02/2023	36.3161
25/02/2023	36.3171
26/02/2023	36.3181
27/02/2023	36.3191
28/02/2023	36.3201
01/03/2023	36.3211
02/03/2023	36.3221
03/03/2023	36.323
04/03/2023	36.324
05/03/2023	36.325
06/03/2023	36.326
07/03/2023	36.327
08/03/2023	36.328
09/03/2023	36.329
10/03/2023	36.33
11/03/2023	36.331
12/03/2023	36.332
13/03/2023	36.3329
14/03/2023	36.3339
15/03/2023	36.3349
16/03/2023	36.3359
17/03/2023	36.3369
18/03/2023	36.3379
19/03/2023	36.3389
20/03/2023	36.3399
21/03/2023	36.3409
22/03/2023	36.3419
23/03/2023	36.3429
24/03/2023	36.3438
25/03/2023	36.3448
26/03/2023	36.3458
27/03/2023	36.3468
28/03/2023	36.3478
29/03/2023	36.3488
30/03/2023	36.3498
31/03/2023	36.3508
01/04/2023	36.3518
02/04/2023	36.3528
03/04/2023	36.3537
04/04/2023	36.3547
05/04/2023	36.3557
06/04/2023	36.3567
07/04/2023	36.3577
08/04/2023	36.3587
09/04/2023	36.3597
10/04/2023	36.3607
11/04/2023	36.3617
12/04/2023	36.3627
13/04/2023	36.3637
14/04/2023	36.3647
15/04/2023	36.3656
16/04/2023	36.3666
17/04/2023	36.3676
18/04/2023	36.3686
19/04/2023	36.3696
20/04/2023	36.3706
21/04/2023	36.3716
22/04/2023	36.3726
23/04/2023	36.3736
24/04/2023	36.3746
25/04/2023	36.3756
26/04/2023	36.3766
27/04/2023	36.3775
28/04/2023	36.3785
29/04/2023	36.3795
30/04/2023	36.3805
01/05/2023	36.3815
02/05/2023	36.3825
03/05/2023	36.3835
04/05/2023	36.3845
05/05/2023	36.3855
06/05/2023	36.3865
07/05/2023	36.3875
08/05/2023	36.3885
09/05/2023	36.3894
10/05/2023	36.3904
11/05/2023	36.3914
12/05/2023	36.3924
13/05/2023	36.3934
14/05/2023	36.3944
15/05/2023	36.3954
16/05/2023	36.3964
17/05/2023	36.3974
18/05/2023	36.3984
19/05/2023	36.3994
20/05/2023	36.4004
21/05/2023	36.4014
22/05/2023	36.4023
23/05/2023	36.4033
24/05/2023	36.4043
25/05/2023	36.4053
26/05/2023	36.4063
27/05/2023	36.4073
28/05/2023	36.4083
29/05/2023	36.4093
30/05/2023	36.4103
31/05/2023	36.4113
01/06/2023	36.4123
02/06/2023	36.4133
03/06/2023	36.4143
04/06/2023	36.4152
